wasm_hash,function,params,outputs,instance_count
"003710b383f9da7d650a7f719a7be479110266427817ebbed61d924505fcd7c7","mint","sender:address recipient:address tick_lower:i32 tick_upper:i32 amount:u128 hints:{""udt"":{""name"":""OracleHints""}}","{""result"":{""ok_type"":{""tuple"":{""value_types"":[""u128"",""u128""]}},""error_type"":""error""}}","58"
"004c04bc1664c25e1694e1c0dd2f2649ccea217f6ca8f7a7566e0cb360a2398f","mint","to:address amount:i128","","1"
"004dc6f0eb924b7e4fcb51cc4680f97603ca2c4e20bab54865ba8efc0a7db33f","mint","to:address amount:i128","","3"
"0065931866678464fb35204299114c8fb5f8954f262e662b0c9afaab145fb952","mint","to:address metadata_uri:string","u64","0"
"006b5f39c4ef99bed27feaae3af96c0a9e9b82418e47daa9e11c1e0135367375","mint","to:address amount:i128","","1"
"00b1b70550f887bd87835270ddee76307ced7a00aa6ad354ed744bc0544a03ac","mint_and_forward","message:bytes attestation:bytes","","1"
"00b1b70550f887bd87835270ddee76307ced7a00aa6ad354ed744bc0544a03ac","get_token_messenger_minter","","address","1"
"00b33d5f9f8a0aec1aecbefb73c724a22800f5d8577f693b26ad7a00329d6f20","max_mint","receiver:address","i128","1"
"00b33d5f9f8a0aec1aecbefb73c724a22800f5d8577f693b26ad7a00329d6f20","preview_mint","shares:i128","i128","1"
"00b33d5f9f8a0aec1aecbefb73c724a22800f5d8577f693b26ad7a00329d6f20","mint","shares:i128 receiver:address from:address operator:address","i128","1"
"0108c762ca6f8441564b0ef032dbb6a600f7f4de3df65f844e51d875979c51e2","mint","to:address amount:i128","","0"
"011c41afca8bb3d64635660beaa425c5f91c9fd0ca02f228d53a450f58ac50cd","mint_reward","_caller:address to:address difficulty:i128","i128","0"
"011c41afca8bb3d64635660beaa425c5f91c9fd0ca02f228d53a450f58ac50cd","admin_mint","_caller:address account:address amount:i128","","0"
"0151f6f0e8e711d09cb5ae35e980322a837fb418cdd034bff0713634105e05c8","mint_core","mint:address to:address amount:u64","{""result"":{""ok_type"":{""tuple"":{""value_types"":[]}},""error_type"":{""udt"":{""name"":""STokenAllowlistMintError""}}}}","1"
"0151f6f0e8e711d09cb5ae35e980322a837fb418cdd034bff0713634105e05c8","accept_allowlist_mint","mint:address caller:address","{""result"":{""ok_type"":{""tuple"":{""value_types"":[]}},""error_type"":{""udt"":{""name"":""STokenAllowlistMintError""}}}}","1"
