function,count
vec_new_from_linear_memory,4557
put_contract_data,4414
has_contract_data,4413
get_contract_data,4406
require_auth,4343
symbol_new_from_linear_memory,4270
map_new_from_linear_memory,3732
obj_from_i128_pieces,3616
obj_to_i128_hi64,3534
obj_to_i128_lo64,3534
map_unpack_to_linear_memory,3450
call,3413
bytes_len,3276
obj_cmp,3248
get_current_contract_address,2945
contract_event,2927
vec_len,2919
vec_new,2858
vec_get,2826
obj_to_u64,2667
obj_from_u64,2558
update_current_contract_wasm,2437
extend_current_contract_instance_and_code_ttl,2390
extend_contract_data_ttl,2328
fail_with_error,2094
vec_push_back,1997
get_ledger_timestamp,1964
del_contract_data,1789
get_ledger_sequence,1625
string_new_from_linear_memory,1426
obj_from_u128_pieces,1243
bytes_new_from_linear_memory,1218
obj_to_u128_hi64,1191
obj_to_u128_lo64,1191
vec_unpack_to_linear_memory,1008
symbol_index_in_linear_memory,976
bytes_append,912
authorize_as_curr_contract,851
map_new,807
map_put,799
map_has,788
get_max_live_until_ledger,730
map_get,729
bytes_new,679
compute_hash_sha256,644
bytes_slice,636
serialize_to_bytes,633
vec_first_index_of,597
bytes_copy_to_linear_memory,559
string_len,487
try_call,480
bytes_front,470
u256_val_from_be_bytes,447
map_len,402
vec_del,401
strkey_to_address,338
vec_put,318
u256_val_to_be_bytes,309
vec_back,299
map_key_by_pos,285
map_val_by_pos,285
bytes_get,266
create_contract_with_constructor,255
u256_add,248
u256_div,244
u256_mul,241
map_del,239
string_copy_to_linear_memory,239
compute_hash_keccak256,219
bytes_copy_from_linear_memory,216
map_keys,201
vec_front,196
u256_rem_euclid,181
bytes_push,179
verify_sig_ed25519,157
create_contract,156
obj_from_i64,148
u256_sub,146
i256_div,134
i256_val_to_be_bytes,133
deserialize_from_bytes,130
i256_mul,130
i256_val_from_be_bytes,130
i256_sub,128
address_to_strkey,126
require_auth_for_args,122
obj_to_i64,115
get_address_from_muxed_address,113
i256_rem_euclid,112
obj_from_u256_pieces,88
vec_push_front,88
i256_add,83
string_to_bytes,82
get_id_from_muxed_address,79
get_contract_id,73
bn254_multi_pairing_check,70
prng_u64_in_inclusive_range,70
recover_key_ecdsa_secp256k1,70
bytes_put,66
verify_sig_ecdsa_secp256r1,64
bn254_g1_add,61
vec_insert,61
map_values,58
vec_pop_front,58
bn254_g1_mul,53
bls12_381_g1_add,51
bls12_381_multi_pairing_check,51
get_address_executable,51
u256_shl,41
bls12_381_hash_to_g2,40
vec_append,39
vec_pop_back,36
poseidon2_permutation,33
vec_binary_search,33
prng_bytes_new,31
upload_wasm,27
u256_shr,26
extend_contract_instance_and_code_ttl,23
get_ledger_network_id,22
log_from_linear_memory,20
bn254_g1_msm,14
extend_contract_code_ttl,13
extend_contract_instance_ttl,13
bls12_381_g1_mul,12
bn254_fr_add,12
create_asset_contract,12
obj_to_i256_hi_hi,11
obj_to_i256_hi_lo,11
obj_to_i256_lo_hi,11
obj_to_i256_lo_lo,11
vec_slice,11
obj_from_i256_pieces,10
bls12_381_check_g1_is_in_subgroup,9
bn254_fr_mul,9
bn254_fr_sub,9
bn254_fr_inv,8
bytes_to_string,8
bls12_381_hash_to_g1,7
get_asset_contract_id,5
obj_to_u256_hi_hi,5
obj_to_u256_hi_lo,5
obj_to_u256_lo_hi,5
obj_to_u256_lo_lo,5
poseidon_permutation,5
prng_reseed,5
prng_vec_shuffle,5
bls12_381_fr_add,4
bn254_fr_pow,4
i256_pow,4
vec_last_index_of,4
bls12_381_fr_sub,3
bn254_g1_is_on_curve,3
delegate_account_auth,3
bls12_381_fr_mul,2
bls12_381_g1_msm,2
bytes_back,2
get_delegated_signers_for_current_auth_check,2
u256_pow,2
