contract,args,call_1,call_2,callable_more_than_once
003710b383f9da7d650a7f719a7be479110266427817ebbed61d924505fcd7c7.wasm,"U256(UInt256Parts { hi_hi: 0, hi_lo: 0, lo_hi: 0, lo_lo: 394112 })","Error(Contract, #21)","Error(Contract, #21)",unknown
003c7f8bd6796e536a3acf5fac150403f0b6054fe7857c132a135055424b566a.wasm,address,ok,"Error(Contract, #3)",no
004c04bc1664c25e1694e1c0dd2f2649ccea217f6ca8f7a7566e0cb360a2398f.wasm,address,ok,ok,yes
004dc6f0eb924b7e4fcb51cc4680f97603ca2c4e20bab54865ba8efc0a7db33f.wasm,", 1, address, address","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
0065931866678464fb35204299114c8fb5f8954f262e662b0c9afaab145fb952.wasm,"address, i, mi",ok,"Error(WasmVm, InvalidAction)",no
006a54fb5f6794e2ffd3ca83bfbc88fd41bccc8505917ecdb552c952d8d767e1.wasm,"address, 452418, 94063, 715845, 775540",ok,"Error(Contract, #27)",no
006b5f39c4ef99bed27feaae3af96c0a9e9b82418e47daa9e11c1e0135367375.wasm,"address, 951423, , e",ok,"Error(WasmVm, InvalidAction)",no
00b799483d38090ac268b32c33bf35d6d65c1c29e0ec42b95058de97396e02a4.wasm,address,ok,"Error(WasmVm, InvalidAction)",no
011439f1c1c296fc69fbdd9b4f2086db13a8ba828d58cd599b4f5f593ca95b74.wasm,address,ok,"Error(Contract, #1)",no
013487869cda1bee3eea0826f04601383ff572cba9cbe5106ecaed9692605740.wasm,"address, address, address, address, address",ok,"Error(Contract, #1)",no
01378d2861d40bba0ff6ea3ef970d25a8cb32bf38e90e1a53739f2ac672db5cd.wasm,"address, address",ok,"Error(Contract, #1)",no
01427012043d3cdbbe5101448296dd01dbad44aa42fc164fbe865a6c3d7e3be5.wasm,{content_type: 4 content_url: j created_at: 761193 creator: address deadline: 848957 metric: 2 min_bet: 215343 oracle: address platform_fee_bps: 590592 resolution_deadline: 97653 threshold: 375501 token: address},"Error(Contract, #13)","Error(Contract, #13)",unknown
0151f6f0e8e711d09cb5ae35e980322a837fb418cdd034bff0713634105e05c8.wasm,{accountant: address asset_manager: address authority: address config_cooldown_secs: 175104 deposit_fee_bps: 79537 downside_cap_bps: 215274 early_cancel_fee_bps: 86905 emergency_withdrawal_cooldown: 644103 fee_change_cooldown_secs: void initial_price: void management_fee_bps_per_year: 836077 manager: address max_deviation_bps: void max_shares_per_user: void max_total_idle: 436275 max_total_shares: void min_shares_to_mint: void oracle: address price_acceptance_cooldown_secs: void price_update_cooldown_secs: void processor: address role_change_cooldown_secs: void system_penalty_bps: 261831 underlying_mint: address whitelist_enabled: true withdraw_fee_bps: 639875 withdrawal_ttl_secs: void},"Error(Contract, #40)","Error(Contract, #40)",unknown
017d6f6a8012e954fe5ec032123e066b9ebcd25364860bd32e2e26d4d2c6cf8d.wasm,"bytes[32], address, address, 116094, 627157, 407430, address, 10943","Error(Storage, MissingValue)","Error(Storage, MissingValue)",unknown
01a5196f27c1e9f4b6088088f1cb168a2bcc84e8a8c8b3facc76342f46e58359.wasm,"address, address, address, address, address, address","Error(Contract, #9)","Error(Contract, #9)",unknown
01cdc6ae087543d71494f436fae7b4547d349d82c23fa7c6de0924f91af2e6e6.wasm,"address, address, address, address, address, void",ok,"Error(Contract, #27)",no
01cfbd28e984de234c5fa3e91713d2304159fe00df2acdc58594a4cc3674a7f3.wasm,address,ok,"Error(Contract, #3)",no
01d76265b4cabdbcd4b38be35c2431988dc369a75c0b4605397bd03b162dbe72.wasm,{admin: address stk_contract: address stk_lp_contract: address},ok,"Error(Contract, #1)",no
01eee75d6a1e75c93079d4370fb635edd216dac3601850bbda08e52a79b72fa6.wasm,"address, {apy_alpha: 238636 burn_receive_percentage: 916439 burnable_percentage: 538370 dogstar_fee_percentage: 906586 haw_ai_percentage: 297797 oracle_contract_id: address power_action_fee: 77412 power_to_usdc_rate: 888340 stake_interest_percentages: [814028] stake_periods: [] terry_per_deck: 464909 terry_per_fight: 841155 terry_per_lending: 704072 terry_per_power: 836457 terry_per_stake: 7520 withdrawable_percentage: 925536 xtar_token: address}",ok,"Error(WasmVm, InvalidAction)",no
027bd328b31767fae389ef191b159d2f25eecf86aaeefd6c1481feca369eb74c.wasm,"address, address",ok,"Error(WasmVm, InvalidAction)",no
0287f4ad7350935b83d94e046c0bcabc960b233dbce1531008c021b71d406a1d.wasm,{backstop: address blnd_id: address pool_hash: bytes[32]},ok,"Error(Contract, #3)",no
0293730a1d9bdb23ad2b2d7f6d7ff86dc5fbe620efb29187f8210dc1d5b90bef.wasm,"bytes[32], bytes[32], {admin: address default_slippage_bps: 449028 fee_recipient: address max_allowed_slippage_bps: 330973 max_allowed_spread_bps: 346790 max_referral_bps: 414938 stake_init_info: {manager: address max_complexity: 388445 min_bond: 740529 min_reward: 472215} swap_fee_bps: 314623 token_init_info: {token_a: address token_b: address}}, address, 264562, j, , 585367, 436971","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
02a1e9fbffb22b6489aff91560f880180f9a9e38a8534ea4fc7cbf437d47cfd7.wasm,"address, address, address, address, 952647, 73552, 424693","Error(Contract, #10)","Error(Contract, #10)",unknown
