wasm,instances,oz_version,oz_crates,oz_modules,sdk,desc
07097f83dae3b746db7dba3263d9cc334efb88a9a7d5450fb96ca19f33d284b0,99794,"0.4.0,0.4.1,0.5.0,0.6.0",stellar-access;stellar-contract-utils,OwnableError;UpgradeableError,22.0.7,Rain Card Collateral Contract
0a41411f7250a78da15d6cd6cf78086e19d98bc917dd0a51e03a34f5ab969781,2276,undetermined (0.4.0-0.7.2),stellar-contract-utils,FungibleTokenError;PausableError,22.0.6,
f340242d143b42e273f628f44ccb907f55f5beb256f3de17de2c005fcdbc9783,1244,0.6.0,stellar-accounts;stellar-contract-utils,CryptoError;MerkleDistributorError;PausableError;SimpleThresholdError;SmartAccountError;SorobanFixedPointError;SpendingLimitError;UpgradeableError;WebAuthnError;WeightedThresholdError,23.4.0,
a12e8fa9621efd20315753bd4007d974390e31fbcb4a7ddc4dd0a0dec728bf2e,246,mixed/forked (no single release fits),stellar-accounts;stellar-contract-utils,CryptoError;MerkleDistributorError;PausableError;SimpleThresholdError;SmartAccountError;SorobanFixedPointError;SpendingLimitError;UpgradeableError;WebAuthnError;WeightedThresholdError,23.2.1,
dc7fbf08126a0eaa8122f27afd958e683a04c94a5eb1a65616494557414fa647,96,0.6.0,stellar-accounts;stellar-contract-utils,CryptoError;MerkleDistributorError;PausableError;SimpleThresholdError;SmartAccountError;SorobanFixedPointError;SpendingLimitError;UpgradeableError;WebAuthnError;WeightedThresholdError,25.0.2,
72acff3c98c3670a06bd20c7a6f04b6676e1e12a06dad46d7e588ab55c3765c4,20,"0.4.0,0.4.1,0.5.0",stellar-access,AccessControlError;OwnableError;RoleTransferError,22.0.8,
1e25669bacd907ec14114b9e943312a6ec4ab265cb407646cfb567517009ba70,19,"0.7.0,0.7.1,0.7.2",stellar-accounts,SmartAccountError,25.3.1,
6fd2e807c8b3c046420813b263f6476b35760908bcd656f5ee22c563d86000ba,16,0.5.0,stellar-contract-utils;stellar-tokens,ClaimIssuerError;ClaimTopicsAndIssuersError;ClaimsError;ComplianceError;CryptoError;DocumentError;FungibleTokenError;IRSError;MerkleDistributorError;NonFungibleTokenError;PausableError;RWAError;SorobanFixedPointError;TokenBinderError;UpgradeableError;VaultTokenError,23.5.3,
af7bcef43d779b4c88bf4325a70de23deac55f401352be1e0ee3f3c378a5b4fd,13,"0.4.0,0.4.1,0.5.0",stellar-access,AccessControlError;OwnableError;RoleTransferError,22.0.8,
3967b1e7a284bce179272f5f8826d02d73fa1cd0791c8e0764a48bafaaf62f17,12,"0.4.0,0.4.1,0.5.0",stellar-access,AccessControlError;OwnableError;RoleTransferError,22.0.8,
3a32d41eed54b2292852f27a014c3a62fca7ff62923d24ab44e6ac4eb37af8f8,10,"0.7.0,0.7.1,0.7.2",stellar-accounts,SmartAccountError,25.3.1,
52ba2e1cdee4e0236eb1ce0ac415553adfe9da399df95beaa3204e15b3c5429b,10,"0.7.0,0.7.1,0.7.2",stellar-access;stellar-accounts,AccessControlError;OwnableError;RoleTransferError;SimpleThresholdError;SmartAccountError;SpendingLimitError;WebAuthnError;WeightedThresholdError,25.3.0,
65e6fa754cc1edbbe365c69d8b86be71666329a8283b5305ac34efafdbfd28cd,10,undetermined (0.4.0-0.7.2),stellar-contract-utils,CryptoError;MerkleDistributorError,22.0.8,
b8583edbc056cf7ffb4903520ab429db3404f02afc7a5aa631705267d0779dfb,10,0.5.0,stellar-contract-utils;stellar-tokens,ClaimIssuerError;ClaimTopicsAndIssuersError;ClaimsError;ComplianceError;CryptoError;DocumentError;FungibleTokenError;IRSError;MerkleDistributorError;NonFungibleTokenError;PausableError;RWAError;SorobanFixedPointError;TokenBinderError;UpgradeableError;VaultTokenError,23.5.3,
ee003d395f9508ae4b8c073d409056f5b245f52a2918bd1724b0a081ce1bf420,10,"0.7.0,0.7.1,0.7.2",stellar-access;stellar-contract-utils;stellar-governance;stellar-tokens,AccessControlError;ClaimIssuerError;ClaimTopicsAndIssuersError;ClaimsError;ComplianceError;CryptoError;DocumentError;FungibleTokenError;GovernorError;IRSError;MerkleDistributorError;NonFungibleTokenError;OwnableError;PausableError;RWAError;RoleTransferError;SorobanFixedPointError;TimelockError;TokenBinderError;VaultTokenError;VotesError,25.3.0,
7759620455ec23b490994618b75f0cd445d1ce79067b0da790954eb31e2c9340,9,0.5.0,stellar-accounts,SimpleThresholdError;SmartAccountError;SpendingLimitError;WebAuthnError;WeightedThresholdError,23.2.1,
b73fe80ad74587eb8ffbbece1207c086d1b0182bc17c50fa263c2b818fa9eea2,8,0.5.0,stellar-accounts,SimpleThresholdError;SmartAccountError;SpendingLimitError;WebAuthnError;WeightedThresholdError,23.2.1,
2f6794570015e7de80623402126a700bc009f7f1cc5dc5823e4967e054cfe183,7,"0.4.0,0.4.1,0.5.0",stellar-access,AccessControlError;OwnableError;RoleTransferError,22.0.8,
63f0bc7bfef41d314e668b1b4dc488e3b3cb3cc4875da18d95b6decc0ef3fb16,7,"0.4.0,0.4.1,0.5.0",stellar-access;stellar-tokens,AccessControlError;FungibleTokenError;NonFungibleTokenError;OwnableError;RoleTransferError,22.0.8,
f48f10d9c7d35fc7783b5e27578bf0e764e3a30ff26a3bd7d8e57758c17a9ea8,7,"0.4.0,0.4.1,0.5.0",stellar-access;stellar-contract-utils;stellar-tokens,AccessControlError;CryptoError;FungibleTokenError;MerkleDistributorError;NonFungibleTokenError;OwnableError;PausableError;RoleTransferError;UpgradeableError,22.0.8,
26f71e210a0bc650caed1cf60a1b96a8e96a88a682b35de2c661adcf56c43f44,6,undetermined (0.4.0-0.7.2),,,25.3.1,
84a88013828d4c4f4e4f5d0fa2f686050d69889384a044eab3ec4b1169f810ea,6,"0.4.0,0.4.1,0.5.0,0.6.0",stellar-access;stellar-contract-utils,OwnableError;UpgradeableError,22.0.7,Rain Card Coordinator Contract
0ef011ec6afb97e24675cdf83e4def5d59ef4bc5963ae12806afe9bde07e4bad,5,0.5.0,stellar-accounts,SimpleThresholdError;SmartAccountError;SpendingLimitError;WebAuthnError;WeightedThresholdError,23.2.1,
2b48212aa3f2af4b81e9dcee3000c6396eaf00afe8613d0fa2665f9cdfee0adf,5,undetermined (0.4.0-0.7.2),stellar-accounts,SimpleThresholdError;SmartAccountError;SpendingLimitError;WebAuthnError;WeightedThresholdError,25.3.0,
3f7792e289df95d3199ed9db35a0cf2a5154aa64cd7298a8c441b7170230635b,5,"0.4.0,0.4.1,0.5.0",stellar-tokens,NonFungibleTokenError,22.0.8,
466e59f1477cd2cadb1e649d3bc09648f42f784ebc527f28566bc8d9c10ae785,5,undetermined (0.4.0-0.7.2),,,25.3.1,
43d2935437b3bf3c2fd6cfc5f8d179882e3451da4fb23990e8697c3cfb3cc18b,4,"0.4.0,0.4.1,0.5.0",stellar-access;stellar-tokens,AccessControlError;FungibleTokenError;NonFungibleTokenError;OwnableError;RoleTransferError,22.0.8,
769c28e4ae8e08cb3e90c8b82420429441f2b4eb19d9cdcffb1c05afdaead46c,4,"0.4.0,0.4.1,0.5.0",stellar-access,AccessControlError,22.0.8,
824c1fbe4ec5e3b79df8fc02f1d899ee6d97975f09c89ae4fea1421415f031d9,4,0.5.0,stellar-contract-utils;stellar-tokens,ClaimIssuerError;ClaimTopicsAndIssuersError;ClaimsError;ComplianceError;CryptoError;DocumentError;FungibleTokenError;IRSError;MerkleDistributorError;NonFungibleTokenError;PausableError;RWAError;SorobanFixedPointError;TokenBinderError;UpgradeableError;VaultTokenError,23.5.3,
825473d128ce20a794f155777caefd1b5126939492ac7e1527dde15068f45bef,4,"0.4.0,0.4.1,0.5.0",stellar-access;stellar-contract-utils;stellar-tokens,AccessControlError;CryptoError;FungibleTokenError;MerkleDistributorError;NonFungibleTokenError;OwnableError;PausableError;RoleTransferError;UpgradeableError,22.0.8,
83bf0a7fbe1502271f2e14d2a5a46c9cde1aa213be97616bd7c6b102b342692f,4,"0.4.0,0.4.1,0.5.0",stellar-access;stellar-contract-utils;stellar-tokens,AccessControlError;CryptoError;FungibleTokenError;MerkleDistributorError;NonFungibleTokenError;OwnableError;PausableError;RoleTransferError;UpgradeableError,22.0.8,
9c8830bdb1fe887a09cac82abcb0c9de70b55b8311c210b99f8962b56d3c6d78,4,"0.4.0,0.4.1,0.5.0",stellar-tokens,NonFungibleTokenError,22.0.8,
a0db88b6da6f83bf1c2c8fafcc8fa9cf9d2abc7f8507d831d086aa2c6ad5fc1b,4,"0.4.0,0.4.1,0.5.0,0.6.0",stellar-access;stellar-contract-utils;stellar-tokens,FungibleTokenError;OwnableError;UpgradeableError,22.0.8,
c3ff69d4f24985e4907ddd1c0bafbf9e639fb19faa27d897e45c23e7b8baed3b,4,0.5.0,stellar-accounts,SimpleThresholdError;SmartAccountError;SpendingLimitError;WebAuthnError;WeightedThresholdError,23.1.0,
cb2758e6a880d458985bf1fdef54de999d61dc09a9b236a1f1fba905a78bb583,4,"0.4.0,0.4.1,0.5.0",stellar-access;stellar-tokens,AccessControlError;FungibleTokenError;NonFungibleTokenError;OwnableError;RoleTransferError,22.0.11,
d2f32d45cf25458862bcac3ba6d34c61cb747303e706f42ff097594e1816d730,4,"0.4.0,0.4.1,0.5.0",stellar-access,AccessControlError;OwnableError;RoleTransferError,22.0.8,
d4645fdf3441e49a659bc0b8fd6fe6287ea8df5048630f2af3342c1769ae57b8,4,"0.4.0,0.4.1,0.5.0,0.6.0",stellar-access;stellar-contract-utils,OwnableError;UpgradeableError,22.0.7,Rain Card Collateral Beacon Contract
fb3b11042a126ff4b28846ebf439eb6877da62b9033f5cceab4e0f65a943575b,4,undetermined (0.4.0-0.7.2),,OwnableError;UpgradeableError,25.1.1,
137ed782d779a45ca824b47565e61608fcaa4fb8c66ec21f605b72f656280bc3,3,"0.4.0,0.4.1,0.5.0",stellar-access,AccessControlError;OwnableError;RoleTransferError,22.0.8,
25e310b6e60a61af53a6d2fdcdde42608ae73bdbda4ef4dd6e419e3fea02e22d,3,"0.4.0,0.4.1,0.5.0",stellar-access;stellar-contract-utils;stellar-tokens,AccessControlError;CryptoError;FungibleTokenError;MerkleDistributorError;NonFungibleTokenError;OwnableError;PausableError;RoleTransferError;UpgradeableError,22.0.8,
2916599bb56355538ad993dc5e739c5f177be994b52915fb2f506a9e3871c0ce,3,"0.4.0,0.4.1,0.5.0",stellar-tokens,NonFungibleTokenError,22.0.8,
29d91418f16b9c27177390540a0bd860c1de762958bb4c3eeae608ff045588e0,3,"stellar-access 0.6.0 (exact, from build path)",stellar-access;stellar-contract-utils;stellar-tokens,AccessControlError;ClaimIssuerError;ClaimTopicsAndIssuersError;ClaimsError;ComplianceError;CryptoError;DocumentError;FungibleTokenError;IRSError;MerkleDistributorError;NonFungibleTokenError;OwnableError;PausableError;RWAError;RoleTransferError;SorobanFixedPointError;TokenBinderError;UpgradeableError;VaultTokenError,23.5.3,
3fa9143a2994aec5a6ab7fae31abbee379e1246a88ca150e6a89cb5c5fdf5760,3,"0.4.0,0.4.1,0.5.0",stellar-access,AccessControlError;OwnableError;RoleTransferError,22.0.8,
3fb6c2ca091168a22951c19acc6e118db88d2953153b1770e01f26fa26b1023d,3,0.5.0,stellar-contract-utils;stellar-tokens,ClaimIssuerError;ClaimTopicsAndIssuersError;ClaimsError;ComplianceError;CryptoError;DocumentError;FungibleTokenError;IRSError;MerkleDistributorError;NonFungibleTokenError;PausableError;RWAError;TokenBinderError;UpgradeableError,25.0.2,
4098a4b7331bc965731333eb838649add4cf2fa786cf7d3c693dc4ad88111029,3,"0.4.0,0.4.1,0.5.0",stellar-access;stellar-contract-utils;stellar-tokens,AccessControlError;CryptoError;FungibleTokenError;MerkleDistributorError;NonFungibleTokenError;OwnableError;PausableError;RoleTransferError;UpgradeableError,22.0.8,
43eaef63b2e9e04f75e0883fd19f1f160774f520df637f68e5902ec780425a7d,3,undetermined (0.4.0-0.7.2),,OwnableError;UpgradeableError,25.1.1,
47fdce86e8fb24ac4cade3b7b20af6102a33dd880059ef133c5850bb503a162f,3,undetermined (0.4.0-0.7.2),,OwnableError;UpgradeableError,25.1.1,
4ac0c23958ed4fef91e4dcdb82028afb94b68a153816d40aa62ecb9e2730975a,3,0.5.0,stellar-access;stellar-contract-utils,AccessControlError;CryptoError;MerkleDistributorError;OwnableError;PausableError;RoleTransferError;SorobanFixedPointError;UpgradeableError,23.1.0,
4b3d9f6b09f7127b0ce81b0ce9d8428f3f960e4e3ce13c11c1cbb446cccc9e73,3,mixed/forked (no single release fits),stellar-contract-utils;stellar-governance;stellar-tokens,ClaimIssuerError;ClaimTopicsAndIssuersError;ClaimsError;ComplianceError;CryptoError;DocumentError;FungibleTokenError;IRSError;MerkleDistributorError;NonFungibleTokenError;PausableError;RWAError;SorobanFixedPointError;TimelockError;TokenBinderError;UpgradeableError;VaultTokenError;VotesError,25.1.1,
870de1c00c6617b1110f387e299a869ed6a8e8399c5c0a4c20bc3e4ff6816ae0,3,undetermined (0.4.0-0.7.2),,OwnableError;UpgradeableError,25.1.1,
8d7837d596cbe2f2bb2424e1dac877b77247ceb0acb45aba0034e1e407cd1875,3,0.5.0,stellar-contract-utils;stellar-tokens,ClaimIssuerError;ClaimTopicsAndIssuersError;ClaimsError;ComplianceError;CryptoError;DocumentError;FungibleTokenError;IRSError;MerkleDistributorError;NonFungibleTokenError;PausableError;RWAError;SorobanFixedPointError;TokenBinderError;UpgradeableError;VaultTokenError,23.1.0,
9aabb3fc3e8a3ff57d391cc6a24d3e2d53f46f14a4a15f50c6b4e71f544651b6,3,"0.4.0,0.4.1,0.5.0",stellar-tokens,NonFungibleTokenError,22.0.8,
a43a2a22b4661da94bc26407aab0524fd1bf1baa3a29614b534a249bc1cd715f,3,0.5.0,stellar-contract-utils;stellar-tokens,ClaimIssuerError;ClaimTopicsAndIssuersError;ClaimsError;ComplianceError;CryptoError;DocumentError;FungibleTokenError;IRSError;MerkleDistributorError;NonFungibleTokenError;PausableError;RWAError;TokenBinderError;UpgradeableError,25.0.2,
aa610eec52ba0d894a049baf647c01355218eafc240f179050fca241d4e40f19,3,0.5.0,stellar-accounts,SimpleThresholdError;SmartAccountError;SpendingLimitError;WebAuthnError;WeightedThresholdError,23.1.0,
ac76f6e6d3511a076e0e43e805c40942d648a6d29af4eb0f8d1c59f989546118,3,0.5.0,stellar-contract-utils;stellar-tokens,ClaimIssuerError;ClaimTopicsAndIssuersError;ClaimsError;ComplianceError;CryptoError;DocumentError;FungibleTokenError;IRSError;MerkleDistributorError;NonFungibleTokenError;PausableError;RWAError;TokenBinderError;UpgradeableError,25.0.2,
bfd300ecaf15d79febcaab57d612a0dfb6dcd1c7dddbe598beb11093088e6969,3,"0.4.0,0.4.1,0.5.0",stellar-tokens,NonFungibleTokenError,22.0.8,
d558e6a20af9b41e264beb1785de8b9ca412380eb2b142356e5e39a938fe96a5,3,undetermined (0.4.0-0.7.2),,OwnableError;UpgradeableError,25.1.1,
dae1757ca9c8350654c68b1be0dd959f00a111eecef928dd4a49751f99f03517,3,undetermined (0.4.0-0.7.2),,OwnableError;UpgradeableError,25.1.1,
df06cfa8174d5523bb8b067a6179af7d669bcb30fa2ce34d811b5b85788f6f00,3,0.5.0,stellar-contract-utils;stellar-tokens,ClaimIssuerError;ClaimTopicsAndIssuersError;ClaimsError;ComplianceError;CryptoError;DocumentError;FungibleTokenError;IRSError;MerkleDistributorError;NonFungibleTokenError;PausableError;RWAError;TokenBinderError;UpgradeableError,25.0.2,
edcd0154fd492ab53c01ae41b353d306a2b7996130a1bf3ee571a28007dfe507,3,0.5.0,stellar-contract-utils;stellar-tokens,ClaimIssuerError;ClaimTopicsAndIssuersError;ClaimsError;ComplianceError;CryptoError;DocumentError;FungibleTokenError;IRSError;MerkleDistributorError;NonFungibleTokenError;PausableError;RWAError;TokenBinderError;UpgradeableError,25.0.2,
f11078394fd06b3992b4274611a7c47809707bdce61254cffa6dd40fcaad364f,3,"0.4.0,0.4.1,0.5.0,0.6.0",stellar-access;stellar-contract-utils;stellar-tokens,FungibleTokenError;OwnableError;PausableError;UpgradeableError,22.0.8,
